rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.937705345948537,8.69377536,1.5416374206542969,4.672234424080829
16,32,3686400,4.082815341154734,6.6139904,1.5130270719528198,4.540454294671978
64,128,14745600,3.8633445938428244,9.478695936,1.4764612913131714,4.3774277987027235
Base,,0,0.0,0.0,1.8332317628358539,6.254065691111481
